Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Mother's qualification;Father's qualification;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;1;4;9670;1;1;125.0;1;38;7;114.9;1;0;0;1;0;1;19;0;13.37;0;0;6;7;6;12.28;0;11.1;0.6;2.02;1
1;1;1;9500;1;1;126.0;19;19;7;123.9;0;0;0;1;0;0;19;0;13.29;0;0;8;9;7;14.11;0;11.1;0.6;2.02;1
1;1;1;9238;1;1;151.0;19;38;9;157.0;1;0;1;1;0;1;18;0;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;1
1;17;2;9238;1;1;115.0;19;38;8;116.4;1;0;0;1;0;0;21;0;11.37;0;0;6;9;6;13.28;0;16.2;0.3;-0.92;1
1;1;1;9085;1;1;138.0;19;19;3;131.0;1;0;0;1;0;0;18;0;12.66;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;1
1;1;1;9147;1;1;135.0;19;1;9;122.1;1;0;0;1;0;0;20;0;12.0;0;0;5;6;5;12.33;0;16.2;0.3;-0.92;1
1;17;2;9500;1;1;127.0;3;3;10;118.8;1;0;0;1;1;0;19;0;12.93;0;0;7;7;6;13.71;0;16.2;0.3;-0.92;1
1;44;1;9003;1;39;150.0;4;5;2;150.0;0;0;0;1;1;0;21;0;11.85;0;0;6;17;5;10.57;0;16.2;0.3;-0.92;1
1;51;1;9070;1;1;125.0;42;3;124;130.0;1;0;0;1;1;0;20;0;12.83;0;0;6;9;4;13.4;0;8.9;1.4;3.51;1
1;1;1;9147;1;1;143.0;1;1;6;138.8;0;0;0;0;1;0;18;0;11.33;0;0;5;8;2;13.5;0;8.9;1.4;3.51;1
1;18;1;8014;0;1;138.0;19;1;5;134.5;1;0;0;1;0;0;19;0;12.66;0;0;6;8;6;14.37;0;12.4;0.5;1.79;1
1;1;1;9991;0;1;130.0;2;37;9;131.4;0;0;0;1;1;0;34;0;12.4;0;0;5;9;5;13.42;0;13.9;-0.3;0.79;1
1;39;1;33;1;1;130.0;38;37;6;102.5;0;0;1;0;1;0;37;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;3
1;39;1;9119;1;10;133.1;34;37;0;128.8;1;0;0;1;1;0;43;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;3
1;43;1;9147;1;1;140.0;37;37;6;122.9;0;0;0;1;0;0;55;0;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;3
4;39;1;9991;0;1;120.0;19;19;3;113.9;1;0;0;1;0;0;39;0;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;1
1;44;1;9130;1;39;120.0;4;4;6;120.0;0;0;1;0;0;0;20;1;11.66;0;1;6;11;3;12.0;0;12.4;0.5;1.79;3
1;1;5;9773;1;1;126.0;3;3;2;121.1;0;0;1;1;0;0;18;0;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;3
1;1;2;9147;1;1;133.0;3;19;7;120.4;1;0;0;1;0;0;22;0;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;1
1;1;6;9500;1;1;103.0;1;3;2;100.6;1;1;0;1;0;0;22;0;13.92;0;0;8;9;7;14.34;0;11.1;0.6;2.02;1
1;17;1;9773;1;1;120.0;1;38;5;121.4;0;0;0;0;0;0;20;0;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;3
1;39;1;9991;0;1;133.1;37;37;9;109.7;0;0;0;1;0;0;29;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;3
1;17;1;9991;0;1;154.0;38;38;5;134.1;0;0;0;1;0;0;24;0;11.5;0;0;5;11;3;14.33;1;7.6;2.6;0.32;1
1;17;2;9238;1;1;130.0;19;19;9;127.6;1;0;0;1;0;0;18;0;11.66;0;0;6;8;5;13.2;0;11.1;0.6;2.02;1
1;17;6;9500;1;1;132.0;37;19;7;132.4;1;0;0;1;0;1;22;0;13.51;0;0;8;9;7;13.77;0;11.1;0.6;2.02;1
1;44;1;8014;0;39;130.0;1;19;9;133.4;0;0;0;1;0;1;21;0;11.5;0;2;6;7;6;13.28;0;12.4;0.5;1.79;1
1;1;1;9238;1;1;139.0;37;38;9;126.1;0;0;0;1;0;1;19;0;12.33;0;0;6;7;6;12.83;0;12.7;3.7;-1.7;1
1;39;1;9254;1;1;130.0;19;38;7;113.5;0;0;0;1;0;1;24;0;13.66;0;0;6;6;6;14.16;0;12.4;0.5;1.79;1
1;1;1;9500;1;1;139.0;37;38;6;121.3;1;0;0;1;0;1;19;0;11.83;0;0;8;10;6;11.83;0;9.4;-0.8;-3.12;1
1;1;1;9773;1;1;127.0;1;19;7;121.8;1;0;0;1;0;1;20;0;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;1
1;1;3;9130;1;1;167.0;37;37;90;159.3;0;0;0;1;0;0;19;0;14.71;0;0;5;5;5;15.8;0;7.6;2.6;0.32;1
1;39;1;9991;0;1;130.0;38;38;9;120.0;0;0;0;1;0;0;27;0;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;3
1;1;1;9500;1;1;130.0;1;19;5;129.1;1;0;0;1;0;0;18;0;13.04;0;0;8;10;8;13.59;0;15.5;2.8;-4.06;1
2;7;1;9254;1;3;130.0;1;3;3;130.0;0;0;0;1;0;0;39;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;3
1;39;1;9130;1;40;129.0;3;3;2;155.3;1;0;0;1;0;0;27;0;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;3
1;17;1;9500;1;1;141.0;38;38;10;139.8;1;0;0;1;0;0;18;0;14.93;0;0;8;8;8;14.93;0;9.4;-0.8;-3.12;1
1;1;3;171;1;1;125.0;38;37;9;115.2;1;0;0;1;0;0;18;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;1
1;1;2;9500;1;1;125.0;19;19;9;114.9;0;0;0;1;0;0;18;0;13.13;0;0;8;12;7;12.22;0;16.2;0.3;-0.92;1
1;44;1;9238;1;39;130.0;19;1;9;131.9;0;0;0;1;0;1;21;0;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;1
1;17;3;171;1;1;133.0;1;37;7;126.0;1;0;0;1;1;1;19;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;1
1;17;1;9070;1;1;127.0;1;1;4;130.2;1;0;0;1;1;0;19;0;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;1
1;43;1;9070;1;1;116.0;1;1;3;120.9;0;0;0;1;1;0;24;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;1
4;42;1;9500;1;19;133.1;1;1;5;126.0;1;0;0;1;1;0;29;0;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;3
1;1;3;171;1;1;139.0;19;19;3;128.2;1;0;0;1;1;1;19;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;1
1;44;1;9003;1;39;130.0;19;37;9;130.0;1;0;0;1;1;0;23;0;12.57;0;0;6;7;6;12.42;0;8.9;1.4;3.51;1
1;1;3;9147;1;1;125.0;1;38;7;120.1;0;0;1;1;1;0;19;0;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;3
1;39;1;9254;1;1;160.0;19;37;10;100.0;0;0;0;1;1;0;26;0;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;1
1;17;1;9147;1;1;148.0;38;37;5;134.0;0;0;0;1;1;0;18;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;1
1;17;1;9500;1;1;150.0;37;19;4;130.8;0;0;0;1;1;0;24;0;11.97;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;1
1;1;1;171;1;1;141.0;19;19;10;135.8;1;0;0;1;1;0;19;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;3
1;17;4;9254;1;1;118.0;38;37;7;111.7;1;0;0;1;1;0;18;0;11.66;0;0;6;12;1;12.0;0;12.4;0.5;1.79;3
1;1;2;9773;1;1;142.0;38;38;9;132.9;1;0;0;1;1;0;18;0;12.33;0;0;6;11;3;12.33;0;10.8;1.4;1.74;1
1;17;3;9147;1;1;120.0;19;19;7;115.5;1;0;1;1;1;0;18;0;10.33;0;0;5;11;3;10.85;0;10.8;1.4;1.74;3
1;18;4;9254;1;1;106.0;19;37;7;106.0;1;0;0;1;1;1;21;0;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;3
1;17;4;9773;1;1;121.0;1;19;8;120.3;1;0;1;1;1;1;19;0;13.66;0;0;6;6;6;13.33;0;8.9;1.4;3.51;1
1;17;4;9500;1;1;150.0;38;37;9;130.8;0;0;0;1;1;1;22;0;14.84;0;0;8;9;8;15.05;0;16.2;0.3;-0.92;1
2;39;1;8014;0;1;120.0;37;37;6;117.0;0;0;0;1;1;0;33;0;12.0;0;0;6;6;6;11.66;0;10.8;1.4;1.74;1
1;1;6;9853;1;1;114.0;19;19;9;110.2;1;0;0;1;1;0;20;0;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;3
1;39;1;9991;0;2;140.0;3;3;2;155.7;1;0;0;1;1;0;35;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;3
1;39;1;9003;1;4;160.0;3;3;2;180.4;0;0;1;1;1;0;24;0;12.16;0;7;12;14;10;13.3;0;12.4;0.5;1.79;3
1;17;1;9254;1;1;120.0;19;19;4;125.5;0;0;0;1;1;0;18;0;12.0;0;0;5;8;3;11.33;0;12.7;3.7;-1.7;1
2;39;1;8014;0;1;130.0;37;37;6;110.0;1;0;0;1;0;0;33;0;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;1
1;42;1;9500;1;1;160.0;37;38;7;161.0;1;0;0;1;0;1;22;0;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;1
1;39;1;9670;1;1;120.0;1;19;5;100.0;0;0;0;1;0;1;25;0;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;1
1;17;1;9070;1;1;124.0;19;38;0;117.6;1;0;0;1;1;0;20;0;10.66;1;0;6;6;5;11.2;0;7.6;2.6;0.32;1
1;1;6;9147;1;1;143.0;38;37;9;128.7;1;0;0;1;1;0;23;0;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;1
1;43;2;9119;1;1;115.0;38;19;6;112.2;1;0;1;1;1;0;18;0;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;1
1;39;1;9500;1;1;133.1;1;1;10;100.8;0;0;0;1;1;0;24;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;3
1;17;2;9773;1;1;133.1;19;1;9;105.0;1;0;0;0;0;0;21;1;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;1
1;15;1;9130;1;1;133.1;1;1;4;100.0;0;0;0;1;0;0;26;1;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;3
2;39;1;9853;1;10;133.1;37;34;0;115.5;0;0;0;1;0;0;39;0;12.66;0;0;6;14;0;0.0;1;7.6;2.6;0.32;3
2;39;1;8014;0;1;133.1;37;19;9;114.0;0;0;0;1;0;0;44;0;11.87;0;0;6;7;6;12.33;0;12.7;3.7;-1.7;1
1;15;1;9119;1;1;130.0;38;3;2;137.0;1;0;0;1;1;0;19;1;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;1
1;1;5;9773;1;1;135.0;37;1;5;124.9;1;0;0;1;0;0;18;0;13.66;0;0;6;6;6;13.33;0;8.9;1.4;3.51;1
1;1;5;9500;1;1;132.0;37;37;7;120.3;1;0;0;1;0;1;18;0;13.75;0;0;8;9;8;1.447;0;12.4;0.5;1.79;1
1;1;1;9085;1;1;135.0;1;2;1;134.3;1;0;0;1;0;0;19;0;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;1
1;1;4;9500;1;1;115.0;3;3;2;111.5;1;0;1;0;0;0;19;0;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;3
1;53;1;9085;1;42;130.0;38;38;9;128.8;0;0;0;1;0;0;21;0;12.87;0;4;9;14;5;13.4;0;8.9;1.4;3.51;3
1;1;4;171;1;1;133.1;1;1;10;110.0;1;0;0;1;0;0;20;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;1
2;39;1;8014;0;1;130.0;37;37;5;113.5;1;0;0;1;0;0;36;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;3
4;39;1;9003;1;12;133.1;37;37;6;160.0;0;0;0;1;0;0;43;0;1.463;0;10;13;14;13;1.423;1;15.5;2.8;-4.06;1
1;18;1;9853;1;1;123.0;19;19;7;117.4;1;0;0;1;0;0;19;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;3
1;51;1;9070;1;1;130.0;3;1;8;122.2;0;0;1;1;0;0;20;0;13.0;0;5;11;11;11;12.27;0;11.1;0.6;2.02;1
1;1;2;9238;1;1;122.0;37;38;7;118.2;1;0;0;1;0;0;19;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;3
1;1;1;9085;1;1;113.0;1;1;4;106.7;1;0;0;1;0;0;20;0;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;3
1;1;5;9500;1;1;111.0;3;4;3;108.2;1;0;0;1;0;0;20;0;13.26;0;0;7;10;5;12.3;0;12.4;0.5;1.79;3
1;17;2;9853;1;1;133.1;19;1;3;107.0;1;0;0;1;0;0;20;0;11.66;0;0;7;10;3;13.0;0;16.2;0.3;-0.92;1
1;1;1;9238;1;1;142.0;37;37;7;136.1;1;0;0;1;0;0;18;0;13.85;0;0;6;6;6;15.0;0;13.9;-0.3;0.79;1
1;17;2;9147;1;1;123.0;1;38;7;115.3;1;0;0;1;0;1;18;0;13.0;0;0;5;11;3;11.0;0;8.9;1.4;3.51;1
1;1;1;9085;1;1;131.0;19;19;9;139.8;1;0;0;1;0;0;19;0;13.4;0;0;5;5;5;12.8;0;10.8;1.4;1.74;1
1;1;3;9773;1;1;158.0;1;38;7;157.0;1;0;0;1;0;0;18;0;12.66;0;0;6;7;6;12.57;0;10.8;1.4;1.74;1
1;17;2;9500;1;1;122.0;37;37;9;131.0;1;0;0;1;0;0;18;0;12.51;1;0;7;7;6;12.51;1;7.6;2.6;0.32;3
1;43;1;9500;1;1;130.0;38;38;5;100.0;0;0;0;1;0;0;20;0;11.61;0;0;7;7;7;13.0;0;13.9;-0.3;0.79;1
1;17;1;9238;1;1;154.0;19;37;7;140.4;1;0;0;1;0;1;20;0;10.0;0;0;6;12;4;10.75;0;7.6;2.6;0.32;1
1;17;1;9147;1;1;120.0;19;19;3;113.4;0;0;0;1;0;0;20;0;10.33;0;0;5;10;3;10.66;0;12.4;0.5;1.79;1
1;1;2;9085;1;1;140.0;37;38;7;137.0;0;0;0;1;0;0;18;0;13.14;2;0;5;6;5;11.4;0;9.4;-0.8;-3.12;1
1;1;1;9147;1;1;127.0;2;19;5;121.8;0;0;0;1;0;0;18;0;12.6;0;0;5;5;5;14.0;0;11.1;0.6;2.02;1
1;17;1;9254;1;1;133.1;1;1;5;131.0;1;0;0;1;0;0;21;0;11.0;0;0;6;12;2;11.0;0;9.4;-0.8;-3.12;3
1;1;2;9147;1;1;120.0;19;19;7;118.6;1;0;0;1;0;0;19;0;10.8;0;0;5;9;4;11.25;2;16.2;0.3;-0.92;1
1;1;1;171;1;1;137.0;3;19;9;122.3;0;0;0;1;0;0;19;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;3
1;1;1;9670;1;1;131.0;38;38;9;127.9;0;0;0;1;0;1;19;0;12.8;0;0;5;5;5;14.2;0;9.4;-0.8;-3.12;1
1;1;1;9085;1;1;130.0;19;38;7;121.3;1;0;0;1;0;0;19;0;14.16;0;0;6;13;6;12.2;0;15.5;2.8;-4.06;1
1;17;6;9556;1;1;122.0;1;1;5;117.1;1;0;0;1;0;0;19;0;12.1;0;0;7;0;0;0.0;0;13.9;-0.3;0.79;3
1;44;1;9085;1;39;160.0;37;37;9;160.0;1;0;0;1;0;0;20;0;14.16;0;1;6;17;5;1.377;0;12.4;0.5;1.79;1
1;1;1;9853;1;1;146.0;19;38;3;145.3;1;0;0;1;0;1;18;0;12.8;0;0;6;7;5;13.4;0;9.4;-0.8;-3.12;1
1;17;3;9238;1;1;131.0;1;39;3;122.6;1;0;0;1;0;0;18;0;13.0;0;0;6;6;6;13.66;0;12.4;0.5;1.79;1
1;17;6;9500;1;1;132.0;1;37;9;128.0;1;0;0;1;0;0;19;0;13.46;0;0;8;9;8;15.01;0;12.4;0.5;1.79;1
1;1;3;9500;1;1;138.0;19;19;8;124.9;1;0;0;1;0;1;18;0;1.2857142857142858;0;0;8;9;7;13.74;0;13.9;-0.3;0.79;3
1;17;2;9070;1;1;130.0;37;37;9;123.7;1;0;0;1;0;0;18;0;12.33;0;0;6;6;6;13.0;0;7.6;2.6;0.32;1
1;1;4;9147;1;1;126.0;1;19;8;120.1;1;0;0;1;0;0;19;0;12.4;0;0;5;5;5;14.6;0;8.9;1.4;3.51;1
1;17;6;9500;1;1;148.0;1;19;3;131.7;1;0;0;1;0;0;19;0;14.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;3
1;43;1;9238;1;1;130.0;38;37;7;133.2;0;0;0;1;0;0;20;0;11.66;0;2;7;8;7;11.71;0;7.6;2.6;0.32;1
1;1;1;9670;1;1;117.0;1;38;9;109.3;0;0;1;0;0;1;19;0;12.0;0;0;6;9;4;12.5;0;12.4;0.5;1.79;3
1;17;1;9670;1;1;120.0;19;19;5;113.0;1;0;0;1;0;0;20;0;12.2;0;0;5;5;4;11.5;0;7.6;2.6;0.32;1
1;1;1;9773;1;1;153.0;1;1;175;157.9;0;0;1;1;0;1;18;0;14.83;0;0;6;6;6;14.83;0;8.9;1.4;3.51;1
1;1;2;9500;1;1;117.0;19;1;7;112.1;0;0;0;1;0;1;20;0;13.18;0;0;8;9;7;12.89;0;11.1;0.6;2.02;1
1;18;1;9500;1;1;178.0;19;1;8;174.7;0;0;0;1;0;0;18;0;17.12;0;0;8;8;8;1.1311475409836065;0;13.9;-0.3;0.79;1
1;1;5;9500;1;1;129.0;37;37;9;128.8;1;0;0;1;0;0;19;0;12.66;0;0;7;7;6;12.66;0;7.6;2.6;0.32;1
1;1;6;9773;1;1;116.0;19;1;4;110.1;1;0;0;1;0;1;19;0;12.66;0;0;6;10;5;12.0;0;12.4;0.5;1.79;1
1;51;1;9147;1;1;99.0;3;1;3;99.7;1;0;1;0;0;0;22;0;0.0;0;0;5;7;0;0.0;0;8.9;1.4;3.51;1
1;1;3;9238;1;1;135.0;1;12;10;121.0;1;0;0;1;0;1;19;0;11.33;0;0;6;6;6;11.5;0;12.4;0.5;1.79;1
1;1;3;9500;1;1;141.0;19;19;7;131.7;1;0;0;1;0;1;19;0;13.6;0;0;8;11;8;1.233;0;15.5;2.8;-4.06;1
1;17;5;9853;1;1;132.0;37;38;6;119.1;1;0;0;1;0;1;19;0;12.0;0;0;6;9;5;10.8;0;9.4;-0.8;-3.12;1
1;1;4;9254;1;1;132.0;12;19;9;124.7;1;0;0;1;0;0;19;0;0.0;0;0;5;10;0;0.0;0;7.6;2.6;0.32;3
1;17;1;9254;1;1;113.0;1;37;10;117.2;1;0;0;1;0;0;20;0;11.2;0;0;6;12;3;11.66;0;7.6;2.6;0.32;3
1;1;1;9147;1;1;134.0;3;19;10;128.8;0;0;0;1;0;0;18;0;13.37;0;0;5;9;5;14.16;0;13.9;-0.3;0.79;1
1;1;1;9500;1;1;136.0;1;19;9;131.5;0;0;0;1;0;1;20;0;13.86;0;0;8;9;7;14.17;0;11.1;0.6;2.02;1
1;1;1;171;1;1;136.0;3;37;8;121.7;1;0;0;1;0;0;18;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;1
1;1;1;9085;1;1;129.0;1;38;7;123.4;0;0;0;1;0;0;19;0;12.4;0;0;5;6;5;13.4;0;7.6;2.6;0.32;1
1;17;1;9853;1;1;138.0;38;38;6;124.7;1;0;0;1;0;0;18;0;12.33;0;0;6;10;5;10.83;0;9.4;-0.8;-3.12;1
1;1;1;9853;1;1;137.0;37;37;9;132.8;1;0;0;1;0;0;18;0;13.33;0;0;6;8;5;11.8;0;7.6;2.6;0.32;1
1;43;1;9853;1;1;115.0;3;37;5;108.7;1;0;0;1;0;0;21;0;12.66;0;0;6;12;3;10.0;0;9.4;-0.8;-3.12;3
1;1;1;9853;1;1;129.0;38;37;6;138.1;0;0;0;1;0;0;19;0;12.0;0;0;6;10;4;11.5;0;7.6;2.6;0.32;3
1;1;1;9147;1;1;131.0;38;38;9;126.5;0;0;0;1;0;1;18;0;10.6;0;0;5;5;5;11.8;0;12.4;0.5;1.79;1
1;17;2;9238;1;1;133.0;1;37;9;127.4;1;0;0;1;0;1;18;0;12.25;0;0;6;7;6;11.85;0;12.7;3.7;-1.7;1
1;1;3;9238;1;1;125.0;19;1;10;123.6;1;0;0;1;0;0;20;0;11.0;0;0;6;9;6;11.83;0;9.4;-0.8;-3.12;1
1;39;1;8014;0;1;120.0;1;19;8;122.0;0;0;0;1;0;1;24;0;11.0;0;0;6;9;5;12.6;0;11.1;0.6;2.02;1
1;1;1;9670;1;1;128.0;19;1;1;118.2;0;0;0;1;0;0;19;0;13.16;0;0;6;9;6;13.0;0;10.8;1.4;1.74;3
1;1;1;9500;1;1;127.0;19;37;7;123.9;1;0;0;1;0;1;18;0;12.85;0;0;8;12;7;12.76;0;15.5;2.8;-4.06;1
1;1;2;9500;1;1;134.0;19;19;9;125.8;1;0;0;1;0;0;18;0;1.491;0;0;8;8;8;15.35;0;15.5;2.8;-4.06;1
1;17;5;9853;1;1;132.0;12;12;4;123.3;1;0;0;1;0;0;21;0;11.5;0;0;6;10;3;11.0;0;10.8;1.4;1.74;3
1;17;2;9670;1;1;124.0;1;19;4;124.4;0;0;0;1;0;0;19;0;14.2;0;0;5;5;5;14.2;0;7.6;2.6;0.32;1
1;17;1;9773;1;1;133.1;19;37;7;126.0;0;0;0;1;0;1;19;0;12.5;0;0;6;7;6;13.0;0;15.5;2.8;-4.06;1
3;39;1;9003;1;1;170.0;1;37;6;170.0;0;0;1;1;0;0;47;0;0.0;0;0;6;0;0;0.0;0;8.9;1.4;3.51;1
1;17;3;9238;1;1;125.0;19;19;8;121.5;0;0;0;1;0;0;19;0;11.66;0;0;6;12;4;11.0;0;13.9;-0.3;0.79;1
1;39;1;9500;1;3;130.0;2;2;1;130.0;0;0;0;1;0;0;29;0;14.25;0;1;8;8;7;14.25;0;12.7;3.7;-1.7;1
1;43;1;9238;1;1;125.0;19;19;8;117.0;1;0;0;1;0;0;21;0;12.0;0;0;6;12;2;11.33;0;16.2;0.3;-0.92;3
1;39;1;9085;1;1;130.0;37;19;7;130.0;1;0;0;1;0;0;28;0;11.25;1;0;5;11;4;10.5;0;12.7;3.7;-1.7;1
1;17;2;9556;1;1;133.1;37;37;10;108.0;0;0;0;1;0;0;20;0;12.45;0;0;8;8;8;1.1311475409836065;0;15.5;2.8;-4.06;1
1;17;1;9500;1;1;131.0;2;38;5;132.3;1;0;0;1;0;0;19;0;11.68;0;0;7;7;6;11.68;0;7.6;2.6;0.32;1
